EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
30.219,16.717,38.151,14.669,8.283,11.343,-0.222,0.408,-0.031,0.965,-0.300,2.136,0.061,-1.373,93.333,13261.000,1.000
32.544,18.595,40.543,17.023,12.887,16.465,7.141,8.657,-0.031,0.968,-0.298,2.594,0.183,-1.495,93.333,13262.000,1.000
31.337,17.735,39.281,15.891,13.716,18.340,11.041,13.904,-0.031,0.968,-0.299,2.625,0.122,-1.465,93.333,13263.000,1.000
25.179,11.514,31.837,8.308,8.275,14.744,8.653,12.406,-0.034,0.968,-0.298,2.686,0.153,-1.526,93.333,13264.000,1.000
18.027,4.123,23.662,-0.537,1.516,10.322,4.783,8.147,-0.035,0.969,-0.300,2.686,0.122,-1.556,93.333,13265.000,1.000
12.007,-0.565,19.292,-5.293,-2.676,8.185,2.976,5.596,-0.035,0.971,-0.297,2.625,0.244,-1.617,93.333,13266.000,1.000
7.790,-2.417,18.191,-5.800,-4.554,7.701,2.601,4.908,-0.039,0.972,-0.295,2.502,0.214,-1.495,93.333,13267.000,1.000
7.830,-2.991,18.188,-4.898,-5.526,7.529,2.253,4.011,-0.038,0.972,-0.298,2.411,0.183,-1.495,93.333,13268.000,1.000
10.748,-3.516,17.922,-4.728,-6.894,6.688,1.073,2.097,-0.039,0.972,-0.300,2.533,0.153,-1.495,93.333,13269.000,1.000
11.924,-3.817,17.251,-5.200,-9.119,5.194,-1.081,0.266,-0.039,0.972,-0.301,2.533,0.153,-1.434,93.333,13270.000,1.000
10.642,-2.684,17.659,-4.598,-10.888,4.554,-3.332,-0.638,-0.038,0.974,-0.299,2.502,0.122,-1.465,93.333,13271.000,1.000
9.347,-2.207,18.112,-4.011,-13.177,3.131,-7.450,-3.623,-0.039,0.973,-0.299,2.472,0.061,-1.495,93.333,13272.000,1.000
9.128,-6.447,14.868,-7.373,-19.540,-3.405,-16.598,-12.323,-0.040,0.973,-0.300,2.380,-0.092,-1.404,93.333,13273.000,1.000
10.504,-10.953,11.517,-11.395,-25.879,-10.673,-25.153,-20.992,-0.039,0.974,-0.297,2.228,-0.092,-1.343,93.333,13274.000,1.000
14.098,-7.989,15.171,-8.365,-23.970,-10.072,-24.403,-20.974,-0.041,0.973,-0.300,2.258,-0.153,-1.373,93.333,13275.000,1.000
16.283,-2.438,21.181,-1.969,-17.743,-5.896,-19.261,-16.995,-0.039,0.973,-0.301,2.197,-0.122,-1.495,93.333,13276.000,1.000
14.500,-1.835,21.911,-0.397,-15.393,-6.262,-18.564,-17.133,-0.038,0.974,-0.299,2.258,-0.183,-1.495,93.333,13277.000,1.000
15.971,0.021,23.024,0.978,-12.160,-5.577,-16.886,-15.308,-0.039,0.976,-0.298,2.106,-0.305,-1.373,93.333,13278.000,1.000
27.573,10.254,32.092,10.439,-0.785,3.603,-6.347,-3.743,-0.039,0.974,-0.300,1.953,-0.397,-1.221,93.333,13279.000,1.000
41.435,21.346,42.621,22.234,12.104,13.927,5.457,9.590,-0.039,0.973,-0.302,1.831,-0.397,-1.190,93.333,13280.000,1.000
43.246,22.611,43.750,24.084,15.465,14.739,6.938,12.518,-0.040,0.973,-0.301,1.801,-0.488,-1.160,93.333,13281.000,1.000
35.357,17.365,37.957,17.643,12.069,10.594,3.044,8.900,-0.040,0.971,-0.299,1.709,-0.519,-1.190,93.333,13282.000,1.000
32.969,16.065,35.826,15.413,12.976,12.694,6.359,11.327,-0.040,0.970,-0.300,1.587,-0.488,-1.129,93.333,13283.000,1.000
35.679,17.872,36.957,18.407,17.784,18.501,14.087,18.760,-0.040,0.969,-0.302,1.678,-0.732,-1.251,93.333,13284.000,1.000
30.697,14.492,32.954,16.650,17.570,17.955,14.928,20.454,-0.038,0.970,-0.302,1.556,-0.763,-1.160,93.333,13285.000,1.000
19.749,7.865,25.766,10.206,13.350,13.085,11.243,17.193,-0.039,0.970,-0.301,1.434,-0.732,-1.007,93.333,13286.000,1.000
15.697,6.934,24.589,8.683,13.223,12.845,12.874,18.498,-0.042,0.968,-0.304,1.404,-0.793,-0.916,93.333,13287.000,1.000
19.609,11.333,29.316,13.211,16.634,16.107,18.133,24.144,-0.042,0.969,-0.305,1.404,-0.824,-0.916,93.333,13288.000,1.000
21.501,12.732,31.743,16.056,16.404,15.114,18.270,25.452,-0.042,0.972,-0.302,1.343,-0.854,-0.854,93.333,13289.000,1.000
18.804,9.189,29.311,14.235,11.455,9.270,12.941,20.471,-0.042,0.973,-0.305,1.282,-0.885,-1.007,93.333,13290.000,1.000
17.786,6.941,27.389,11.893,7.110,4.246,8.626,15.108,-0.042,0.974,-0.302,1.221,-1.007,-0.916,93.333,13291.000,1.000
20.188,8.517,28.525,11.095,4.973,0.608,5.799,11.243,-0.042,0.975,-0.300,1.099,-1.099,-0.854,93.333,13292.000,1.000
20.050,8.850,28.125,8.376,0.825,-6.749,-1.634,4.297,-0.041,0.975,-0.305,0.977,-1.221,-0.824,93.333,13293.000,1.000
15.741,6.112,24.623,3.342,-5.015,-15.834,-12.470,-4.819,-0.040,0.974,-0.306,0.763,-1.282,-0.885,93.333,13294.000,1.000
16.316,6.546,24.496,2.762,-4.878,-15.998,-15.506,-6.726,-0.035,0.972,-0.307,0.763,-1.373,-0.824,93.333,13295.000,1.000
25.542,12.904,30.099,8.754,2.415,-5.396,-7.662,0.573,-0.035,0.973,-0.308,0.702,-1.312,-0.824,93.333,13296.000,1.000
32.577,18.053,33.537,12.744,7.046,3.997,-0.707,5.963,-0.034,0.972,-0.305,0.580,-1.190,-0.702,93.333,13297.000,1.000
29.089,16.329,29.669,8.928,4.058,4.989,-1.798,2.702,-0.032,0.971,-0.303,0.488,-1.160,-0.519,93.333,13298.000,1.000
20.596,11.788,23.475,2.444,0.128,3.926,-3.847,-2.500,-0.032,0.967,-0.304,0.366,-1.007,-0.458,93.333,13299.000,1.000
16.855,10.641,21.031,0.058,1.091,7.164,-0.728,-2.648,-0.034,0.965,-0.307,0.366,-0.946,-0.336,93.333,13300.000,1.000
19.726,13.159,22.375,2.099,4.944,12.119,3.682,0.244,-0.034,0.965,-0.305,0.427,-0.732,-0.244,93.333,13301.000,1.000
22.192,14.683,23.108,3.945,7.196,13.819,4.189,1.194,-0.034,0.965,-0.304,0.488,-0.763,-0.153,93.333,13302.000,1.000
17.646,11.357,19.718,1.687,5.709,11.409,1.342,-0.793,-0.035,0.967,-0.306,0.641,-0.488,-0.122,93.333,13303.000,1.000
8.655,5.225,14.320,-3.266,1.990,7.119,-1.561,-2.744,-0.035,0.972,-0.304,0.671,-0.488,-0.275,93.333,13304.000,1.000
5.616,3.177,13.691,-4.361,1.492,4.922,-1.220,-0.245,-0.033,0.973,-0.307,0.763,-0.427,-0.458,93.333,13305.000,1.000
12.908,7.733,20.672,2.661,7.964,7.598,4.047,7.783,-0.034,0.975,-0.311,0.763,-0.336,-0.397,93.333,13306.000,1.000
21.955,11.931,28.109,11.863,15.767,11.275,9.975,15.046,-0.035,0.975,-0.307,0.702,-0.305,-0.397,93.333,13307.000,1.000
26.030,11.326,30.014,15.934,18.337,11.742,12.289,16.899,-0.035,0.976,-0.301,0.519,-0.061,-0.427,93.333,13308.000,1.000
28.871,12.369,31.806,18.334,19.503,12.737,14.813,18.531,-0.034,0.979,-0.301,0.519,0.031,-0.549,93.333,13309.000,1.000
32.887,18.575,37.732,23.319,23.161,16.443,19.726,23.263,-0.034,0.980,-0.301,0.458,0.488,-0.702,93.333,13310.000,1.000
35.258,23.529,42.159,26.591,25.044,18.027,21.914,25.960,-0.035,0.983,-0.302,0.519,0.824,-0.824,93.333,13311.000,1.000
37.231,24.743,42.192,26.528,24.269,16.891,20.776,25.334,-0.034,0.983,-0.299,0.305,1.190,-0.916,93.333,13312.000,1.000
40.254,26.599,41.860,27.726,25.229,17.005,20.744,25.258,-0.032,0.982,-0.301,0.092,1.556,-0.854,93.333,13313.000,1.000
39.199,28.744,41.236,29.311,25.918,16.310,19.617,23.543,-0.031,0.981,-0.298,-0.183,1.953,-0.732,93.333,13314.000,1.000
34.148,28.269,38.066,27.424,22.400,11.825,13.713,17.305,-0.027,0.975,-0.302,-0.366,2.380,-0.671,93.333,13315.000,1.000
31.316,26.168,34.262,24.129,17.550,6.790,6.931,10.775,-0.023,0.970,-0.305,-0.336,2.869,-0.488,93.333,13316.000,1.000
29.658,22.198,30.488,20.873,13.362,3.118,2.212,5.818,-0.023,0.968,-0.303,-0.366,3.265,-0.305,93.333,13317.000,1.000
26.336,16.643,26.267,15.960,9.048,0.683,-1.436,0.700,-0.025,0.967,-0.299,-0.122,3.784,-0.061,93.333,13318.000,1.000
24.582,14.347,23.858,11.399,7.211,2.284,-1.698,-1.702,-0.026,0.966,-0.299,0.092,4.181,0.000,93.333,13319.000,1.000
25.018,15.615,22.763,9.623,8.797,7.508,2.530,0.426,-0.030,0.965,-0.296,0.366,4.517,0.061,93.333,13320.000,1.000
22.038,13.925,19.109,7.958,9.202,10.396,5.701,2.418,-0.034,0.966,-0.295,0.397,4.639,0.305,93.333,13321.000,1.000
14.205,7.663,13.488,4.512,6.404,9.051,4.392,1.753,-0.038,0.968,-0.296,0.397,4.822,0.488,93.333,13322.000,1.000
7.074,2.036,10.243,1.999,3.610,7.596,2.433,1.311,-0.043,0.964,-0.295,0.305,4.913,0.641,93.333,13323.000,1.000
3.867,-0.931,9.558,1.594,2.016,7.540,2.565,2.021,-0.046,0.964,-0.293,0.366,4.761,0.671,93.333,13324.000,1.000
3.518,-3.665,8.512,1.153,-0.047,6.596,2.728,2.210,-0.046,0.960,-0.291,0.427,4.639,0.793,93.333,13325.000,1.000
3.303,-7.255,6.510,-0.640,-2.943,3.871,1.116,1.692,-0.047,0.957,-0.293,0.641,4.395,0.732,93.333,13326.000,1.000
2.120,-8.677,6.420,-1.301,-4.051,2.483,0.061,2.676,-0.047,0.959,-0.294,0.793,4.059,0.702,93.333,13327.000,1.000
3.490,-3.346,11.938,3.612,0.299,7.038,3.906,7.969,-0.047,0.959,-0.299,1.007,3.754,0.793,93.333,13328.000,1.000
6.317,3.920,18.320,9.967,5.508,12.649,8.617,12.868,-0.049,0.960,-0.297,1.221,3.479,0.854,93.333,13329.000,1.000
3.386,1.872,15.875,7.926,1.789,8.161,4.399,8.236,-0.049,0.960,-0.294,1.312,3.082,0.854,93.333,13330.000,1.000
-2.352,-5.453,9.461,1.874,-6.218,-1.947,-4.416,-1.050,-0.049,0.963,-0.293,1.495,2.808,0.763,93.333,13331.000,1.000
-0.115,-4.660,10.999,3.373,-5.940,-3.993,-5.169,-2.495,-0.048,0.964,-0.297,1.526,2.502,0.671,93.333,13332.000,1.000
8.018,1.212,16.432,8.525,-0.252,-0.664,-0.423,1.334,-0.049,0.964,-0.301,1.495,2.197,0.671,93.333,13333.000,1.000
10.313,1.089,15.994,8.078,0.975,-2.236,-0.249,0.728,-0.043,0.964,-0.298,1.434,1.831,0.580,93.333,13334.000,1.000
5.673,-2.209,12.997,5.107,-0.308,-5.996,-2.864,-2.546,-0.041,0.963,-0.297,1.526,1.495,0.397,93.333,13335.000,1.000
1.406,-0.616,13.870,5.425,1.497,-5.081,-1.980,-2.312,-0.038,0.963,-0.298,1.526,1.282,0.183,93.333,13336.000,1.000
0.289,3.888,16.089,6.979,3.987,-1.803,0.722,0.172,-0.037,0.965,-0.302,1.495,1.068,0.122,93.333,13337.000,1.000
