EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
10.984,7.220,2.180,-2.088,-3.111,18.884,-15.710,1.952,-0.021,0.975,-0.290,0.488,-0.793,-0.763,86.667,103056.000,1.000
2.575,4.558,-0.986,-2.812,-5.681,15.101,-19.050,0.509,-0.021,0.975,-0.292,0.397,-0.793,-0.885,86.667,103057.000,1.000
-0.548,6.092,1.235,3.174,-3.352,15.725,-17.791,3.988,-0.022,0.975,-0.292,0.366,-0.824,-0.885,86.667,103058.000,1.000
5.128,14.233,10.958,16.580,5.811,22.432,-10.225,13.688,-0.019,0.974,-0.293,0.397,-0.793,-0.946,86.667,103059.000,1.000
12.088,23.622,21.945,29.599,15.827,29.847,-1.993,23.440,-0.018,0.974,-0.295,0.397,-0.824,-0.916,86.667,103060.000,1.000
14.435,29.460,28.685,36.849,22.406,34.673,3.786,29.737,-0.019,0.974,-0.294,0.336,-0.763,-0.793,86.667,103061.000,1.000
16.024,33.725,33.283,41.285,28.072,39.517,9.880,35.318,-0.019,0.973,-0.294,0.275,-0.763,-0.732,86.667,103062.000,1.000
20.920,38.797,38.624,45.943,34.719,46.031,17.161,41.507,-0.018,0.974,-0.295,0.305,-0.763,-0.671,86.667,103063.000,1.000
24.425,41.151,41.367,47.321,38.288,50.341,20.941,43.560,-0.016,0.973,-0.293,0.244,-0.763,-0.610,86.667,103064.000,1.000
20.774,36.582,37.134,41.413,34.594,48.243,17.428,37.446,-0.017,0.971,-0.295,0.214,-0.702,-0.732,86.667,103065.000,1.000
13.148,27.691,28.453,31.031,25.986,41.249,9.234,26.634,-0.017,0.970,-0.293,0.153,-0.763,-0.702,86.667,103066.000,1.000
10.975,23.273,24.354,24.914,20.738,36.570,4.434,20.134,-0.020,0.971,-0.292,0.214,-0.641,-0.702,86.667,103067.000,1.000
17.207,26.447,27.778,26.368,22.094,37.287,6.398,21.188,-0.020,0.968,-0.294,0.122,-0.732,-0.732,86.667,103068.000,1.000
